candidate_id,rank,score,reasoning
CAND_0043860,1,1.1988,"Junior ML Engineer at Aganitha (6.1 yrs, Bhubaneswar, Odisha). Strong ai/ml title alignment; key skills: pgvector, semantic search, information retrieval; production ml/system deployment experience."
CAND_0081846,2,1.1949,"Lead AI Engineer at Razorpay (6.7 yrs, Jaipur, Rajasthan). Strong ai/ml title alignment; key skills: data science, information retrieval, llamaindex; production ml/system deployment experience."
CAND_0046525,3,1.1913,"Senior Machine Learning Engineer at Genpact AI (6.1 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: elasticsearch, langchain, machine learning; production ml/system deployment experience."
CAND_0064326,4,1.1877,"Search Engineer at Sarvam AI (7.6 yrs, Gurgaon, Haryana). Strong ai/ml title alignment; key skills: pytorch, deep learning, semantic search; production ml/system deployment experience."
CAND_0048558,5,1.1838,"Data Scientist at Rephrase.ai (6.7 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: information retrieval, opensearch, elasticsearch; production ml/system deployment experience."
CAND_0011687,6,1.1821,"Senior NLP Engineer at Niramai (7.8 yrs, Indore, Madhya Pradesh). Strong ai/ml title alignment; key skills: tensorflow, opensearch, faiss; production ml/system deployment experience."
CAND_0052682,7,1.1807,"NLP Engineer at Aganitha (6.6 yrs, Vizag, Andhra Pradesh). Strong ai/ml title alignment; key skills: semantic search, faiss, pytorch; production ml/system deployment experience."
CAND_0018499,8,1.1801,"Senior Machine Learning Engineer at Zomato (7.2 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: deep learning, recommendation systems, information retrieval; production ml/system deployment experience."
CAND_0065195,9,1.1732,"Search Engineer at CRED (5.1 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: llms, bentoml, elasticsearch; production ml/system deployment experience."
CAND_0002025,10,1.1729,"Senior AI Engineer at Apple (5.9 yrs, Trivandrum, Kerala). Strong ai/ml title alignment; key skills: faiss, tensorflow, opensearch; production ml/system deployment experience."
CAND_0055905,11,1.1569,"Senior Machine Learning Engineer at Flipkart (8.1 yrs, London, UK). Strong ai/ml title alignment; key skills: elasticsearch, hugging face transformers, langchain; production ml/system deployment experience. Based outside india (uk)."
CAND_0006567,12,1.1552,"Senior AI Engineer at Meta (7.9 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: search backend, vector representations, nlp; production ml/system deployment experience."
CAND_0033445,13,1.1497,"ML Engineer at Vedantu (6.8 yrs, Ahmedabad, Gujarat). Strong ai/ml title alignment; key skills: deep learning, information retrieval, pgvector; solid product-company trajectory."
CAND_0052328,14,1.1469,"Recommendation Systems Engineer at Amazon (6.5 yrs, Pune, Maharashtra). Strong ai/ml title alignment; key skills: opensearch, recommendation systems, fine-tuning llms; production ml/system deployment experience."
CAND_0041669,15,1.1461,"Recommendation Systems Engineer at CRED (8.0 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: faiss, mlflow, semantic search; production ml/system deployment experience."
CAND_0046064,16,1.1453,"Senior NLP Engineer at Salesforce (8.9 yrs, Coimbatore, Tamil Nadu). Strong ai/ml title alignment; key skills: python, opensearch, deep learning; production ml/system deployment experience."
CAND_0004402,17,1.1446,"AI Research Engineer at Yellow.ai (6.0 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: opensearch, pytorch, bentoml; production ml/system deployment experience."
CAND_0007596,18,1.1439,"Junior ML Engineer at Flipkart (4.4 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: machine learning, python, vector search; production ml/system deployment experience."
CAND_0061257,19,1.1402,"Staff Machine Learning Engineer at LinkedIn (8.0 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: machine learning, information retrieval systems, search infrastructure; production ml/system deployment experience."
CAND_0006418,20,1.1392,"Machine Learning Engineer at Verloop.io (5.7 yrs, Gurgaon, Haryana). Strong ai/ml title alignment; key skills: semantic search, embeddings, tensorflow; production ml/system deployment experience."
CAND_0077337,21,1.1351,"Staff Machine Learning Engineer at Paytm (7.0 yrs, Kochi, Kerala). Strong ai/ml title alignment; key skills: semantic search, pgvector, information retrieval."
CAND_0037980,22,1.1319,"Senior Applied Scientist at Niramai (9.0 yrs, Kolkata, West Bengal). Strong ai/ml title alignment; key skills: search infrastructure, pytorch, nlp."
CAND_0071974,23,1.1301,"Senior AI Engineer at Netflix (7.8 yrs, Vizag, Andhra Pradesh). Strong ai/ml title alignment; key skills: machine learning, information retrieval, embeddings."
CAND_0010257,24,1.1297,"Senior Data Scientist at Google (6.5 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: tensorflow, mlflow, python. Long notice (120d)."
CAND_0053605,25,1.1285,"Senior Software Engineer (ML) at Verloop.io (6.9 yrs, Noida, Uttar Pradesh). Strong ai/ml title alignment; key skills: langchain, pgvector, semantic search."
CAND_0043637,26,1.1271,"Junior ML Engineer at Rephrase.ai (5.5 yrs, Delhi, Delhi). Strong ai/ml title alignment; key skills: pytorch, html, mlflow."
